pairing,modality,n_choosing,n_correct,median_rt_ms,accuracy_pct_subset25,thesis_fig10_correct_of36_chartread,n_ratings,mean_rating_subset25,target_word_file
a0,auditory,25,16,13657.0,64.0,25,25,3.76,a0hk-gosogoso
a1,auditory,25,15,12456.0,60.0,21,25,5.04,a1kh-batyabatya
a2,auditory,25,19,9653.0,76.0,26,25,4.4,a2hk-zyaazyaa
a3,auditory,25,18,11374.0,72.0,24,25,4.88,a3kh-syakisyaki
a4,auditory,25,16,11698.0,64.0,23,25,4.92,a4hk-zuruzuru
a5,auditory,25,12,11221.0,48.0,18,25,4.4,a5kh-dotabata
a6,auditory,25,15,12865.0,60.0,24,25,3.16,a6hk-dosari
a7,auditory,25,21,13966.0,84.0,30,25,3.76,a7kh-gisigisi
a8,auditory,25,16,13651.0,64.0,22,25,2.88,a8hk-bosori
a9,auditory,25,23,11581.0,92.0,34,25,3.64,a9kh-sakutto
i0,interoceptive,25,17,12359.0,68.0,23,25,3.52,i0hk-uNzari
i1,interoceptive,25,17,16957.0,68.0,20,25,3.68,i1kh-gatugatu
i2,interoceptive,25,7,12290.0,28.0,13,25,3.92,i2hk-syoboN
i3,interoceptive,25,19,12761.0,76.0,29,25,4.84,i3kh-iraira
i4,interoceptive,25,15,15708.0,60.0,21,25,4.52,i4hk-tyaNto
i5,interoceptive,25,16,10842.0,64.0,25,25,4.8,i5kh-harahara
i6,interoceptive,25,11,13622.0,44.0,20,25,3.48,i6hk-noNbiri
i7,interoceptive,25,15,15165.0,60.0,20,25,4.96,i7kh-zokuzoku
i8,interoceptive,25,12,12186.0,48.0,20,25,5.08,i8hk-hotto
i9,interoceptive,25,19,13658.0,76.0,24,25,6.12,i9kh-dokidoki
v0,visual,25,18,16422.0,72.0,26,25,4.44,v0hk-kukkiri
v1,visual,25,14,14529.0,56.0,21,25,4.12,v1kh-gizagiza
v2,visual,25,21,12223.0,84.0,30,25,3.96,v2hk-doNyori
v3,visual,25,15,15013.0,60.0,21,25,4.36,v3kh-hirahira
v4,visual,25,15,15078.0,60.0,17,25,3.4,v4hk-bissiri
v5,visual,25,18,11451.0,72.0,24,25,4.28,v5kh-nikoniko
v6,visual,25,14,13123.0,56.0,20,25,4.36,v6hk-huNwari
v7,visual,25,16,13697.0,64.0,25,25,4.44,v7kh-kiritto
v8,visual,25,21,10049.0,84.0,27,25,4.52,v8hk-marumaru
v9,visual,25,16,20833.0,64.0,20,25,4.0,v9kh-bosabosa
